Angle;Time_Minutes;Counts
0;2.93173;0
1;179.107;5
2;274.254;7
3;332.775;12
4;329.444;10
5;330.586;9
6;331.095;10
7;329.627;7
8;332.119;6
9;331.986;14
10;332.216;12
11;331.72;8
12;333.389;8
13;331.956;8
14;333.555;8
15;332.917;8
16;332.875;19
17;332.67;5
18;330.308;7
19;327.017;12
20;332.293;6
21;331.487;12
22;329.065;12
23;331.726;10
24;329.057;6
25;328.828;2
26;330.88;7
27;330.359;13
28;330.703;10
29;329.239;7
30;330.987;10
31;328.134;10
32;330.231;6
33;330.686;2
34;330.512;13
35;329.167;8
36;326.682;14
37;333.904;12
38;328.194;13
39;330.967;4
40;329.525;6
41;331.392;5
42;330.75;6
43;329.199;9
44;330.022;8
45;328.139;9
46;329.252;8
47;332.409;7
48;327.321;14
49;331.036;6
50;330.355;10
51;330.794;7
52;330.014;4
53;330.7;9
54;331.027;7
55;327.653;11
56;329.307;10
57;331.007;10
58;330.678;11
59;330.096;9
60;330.822;13
61;328.515;13
62;329.526;7
63;330.276;6
64;332.274;10
65;329.398;6
66;328.733;10
67;329.046;6
68;331.553;13
69;328.841;12
70;331.768;11
71;326.935;8
72;331.592;11
73;329.293;13
74;331.123;12
75;328.203;7
76;331.747;6
77;328.138;3
78;331.876;9
79;329.774;8
80;327.502;9
81;334.335;16
82;328.758;9
83;327.922;9
84;331.591;11
85;330.691;10
86;326.725;7
87;332.701;8
88;328.829;7
89;330.173;15
90;329.834;13
91;331.571;6
92;327.4;11
93;329.728;7
94;332.148;12
95;328.531;11
96;331.738;8
97;330.316;6
98;323.881;7
99;334.941;7
100;331.26;5
101;328.305;6
102;330.393;7
103;330.377;10
104;329.732;9
105;326.078;7
106;335.869;5
107;326.939;17
108;330.029;13
109;332.233;6
110;330.752;11
111;330.461;5
112;325.233;8
113;332.109;6
114;331.173;13
115;330.607;6
116;329.931;5
117;328.13;5
118;330.107;9
119;331.246;8
120;330.912;13
121;329.827;9
122;328.021;16
123;332.659;8
124;328.885;4
125;327.205;7
126;331.658;14
127;328.101;9
128;331.187;7
129;330.265;9
130;327.928;11
131;333.436;11
132;331.671;9
133;328.615;10
134;328.382;12
135;330.515;10
136;328.967;6
137;330.656;9
138;330.203;7
139;330.644;5
140;329.328;6
141;329.729;9
142;330.567;5
143;328.064;8
144;330.692;11
145;333.296;8
146;328.043;9
147;330.063;21
148;329.955;11
149;329.127;7
150;330.3;7
151;330.186;9
152;329.479;11
153;332.465;13
154;329.454;9
155;329.746;9
156;324.993;8
157;330.563;12
158;324.525;10
159;326.019;9
160;328.309;12
161;326.574;5
162;326.91;9
163;328.429;7
164;324.761;10
165;328.912;7
166;327.091;9
167;327.486;5
168;328.036;16
169;322.071;9
170;329.063;10
171;328.326;9
172;326.723;13
173;326.137;9
174;328.764;10
175;327.116;9
176;326.349;9
177;328.37;5
178;323.243;6
179;275.848;5
180;170.44;6
